id,segment_key,segment_type,user_key,question_key,value
304232,2018_be_municipal_be_,candidate,be_politician_4801,question_4,fully_agree
274490,2018_be_municipal_be_8421,candidate,be_politician_1024,question_71,fully_disagree
274491,2018_be_municipal_be_8421,candidate,be_politician_1024,question_93,fully_disagree
274492,2018_be_municipal_be_8421,candidate,be_politician_1024,question_94,fully_disagree
274493,2018_be_municipal_be_8421,candidate,be_politician_1024,question_95,fully_disagree
274494,2018_be_municipal_be_8421,candidate,be_politician_1024,question_96,fully_disagree
274495,2018_be_municipal_be_8421,candidate,be_politician_1024,question_97,fully_disagree
125501,2018_be_municipal_be_8421,candidate,be_politician_1024,question_69,fully_disagree
125502,2018_be_municipal_be_8421,candidate,be_politician_1024,question_75,fully_disagree
170608,2018_be_municipal_be_8421,candidate,be_politician_1024,question_4,fully_disagree
170609,2018_be_municipal_be_8421,candidate,be_politician_1024,question_10,fully_disagree
170610,2018_be_municipal_be_8421,candidate,be_politician_1024,question_22,fully_disagree
170611,2018_be_municipal_be_8421,candidate,be_politician_1024,question_23,fully_disagree
170612,2018_be_municipal_be_8421,candidate,be_politician_1024,question_48,fully_disagree
170613,2018_be_municipal_be_8421,candidate,be_politician_1024,question_49,fully_disagree
170614,2018_be_municipal_be_8421,candidate,be_politician_1024,question_52,fully_disagree
170615,2018_be_municipal_be_8421,candidate,be_politician_1024,question_57,fully_disagree
170616,2018_be_municipal_be_8421,candidate,be_politician_1024,question_76,fully_disagree
174003,2018_be_municipal_be_8421,candidate,be_politician_1024,question_42,fully_disagree
178677,2018_be_municipal_be_8421,candidate,be_politician_1024,question_55,fully_disagree
185279,2018_be_municipal_be_8421,candidate,be_politician_1024,question_17,fully_disagree
187819,2018_be_municipal_be_8421,candidate,be_politician_1024,question_58,fully_disagree
187820,2018_be_municipal_be_8421,candidate,be_politician_1024,question_61,fully_disagree
198737,2018_be_municipal_be_8421,candidate,be_politician_1024,question_38,fully_disagree
198738,2018_be_municipal_be_8421,candidate,be_politician_1024,question_82,fully_disagree
214999,2018_be_municipal_be_8421,candidate,be_politician_1024,question_84,fully_disagree
222684,2018_be_municipal_be_8421,candidate,be_politician_1024,question_20,fully_disagree
235166,2018_be_municipal_be_8421,candidate,be_politician_1024,question_85,fully_disagree
235167,2018_be_municipal_be_8421,candidate,be_politician_1024,question_86,fully_disagree
235168,2018_be_municipal_be_8421,candidate,be_politician_1024,question_87,fully_disagree
235169,2018_be_municipal_be_8421,candidate,be_politician_1024,question_88,fully_disagree
235170,2018_be_municipal_be_8421,candidate,be_politician_1024,question_89,fully_disagree
235171,2018_be_municipal_be_8421,candidate,be_politician_1024,question_90,fully_disagree
235172,2018_be_municipal_be_8421,candidate,be_politician_1024,question_91,fully_disagree
239518,2018_be_municipal_be_8421,candidate,be_politician_1024,question_21,fully_disagree
304231,NULL,candidate,be_politician_10561,question_123,disagree
304230,NULL,candidate,be_politician_10561,question_121,disagree
304229,2018_be_municipal_be_9120,candidate,be_politician_11402,question_127,disagree
304228,2018_be_municipal_be_9120,candidate,be_politician_11402,question_126,disagree
304227,2018_be_municipal_be_9120,candidate,be_politician_11402,question_125,no_opinion
304226,2018_be_municipal_be_9120,candidate,be_politician_11402,question_123,no_opinion
304225,2018_be_municipal_be_9120,candidate,be_politician_11402,question_121,agree
